"","challenge","realistic_accurate","mystery","fast","enemy","tournament_competition","compete","evil","dangerous","just_name","arcade","race","licensed_tournament","team_group_crew_squad","story","city","death","destroy_devastate_wreck","action"
"604155",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604291",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"604347",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605586",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605593",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"605961",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"611852",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"614995",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"620598",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"621031",0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"625403",0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"628146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"628160",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"630985",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"638789",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"646484",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"971360",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"990993",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"997559",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"997653",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998009",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
