"","explore","rescue","fight","mission","defend","strategy_tactics","compete","collect_gather","solve","discover_reveal","adventure","combat","battle","attack","kill","explode_blast","shoot","destroy_devastate_wreck","defeat","friend"
"932983",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941519",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943417",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944341",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944918",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"944922",0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"946815",0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"954980",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"956904",0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"957925",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"958113",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"958278",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"959082",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"961266",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"961359",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"979643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"981067",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
