"","licensed_content_cultural_products","just_name","evil","fast","enemy","horde_wave_mass","puzzle","kill","story","city","mystery","level_stage","epic","friend","the_earth","human_race_mankind","licensed_content_video_games","adventure","team_group_crew_squad","dangerous","hero","destroy_devastate_wreck"
"946219",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"948789",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954826",0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"955093",0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"955103",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"959111",1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"959321",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"959421",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960342",1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"960369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"960924",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"961515",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"971670",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"973239",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
"976357",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
