"","arcade","fast","music","licensed_content_cultural_products","challenge","puzzle","strategy_tactics","licensed_content_video_games","just_name","fight","compete","enemy","city","realistic_accurate","tournament_competition","team_group_crew_squad","magic","friend","level_stage","action","solve"
"935577",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"938257",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942971",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943805",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944164",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"945046",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"945407",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"945456",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"945457",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"945550",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945788",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"945916",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"946012",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"946102",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"946302",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"949381",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950905",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"950906",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"950956",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"951203",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"951587",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"952362",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"953420",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"953864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"954046",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954821",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954856",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
